id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3356,KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393,NA,United States,US,Pennsylvania,US-PA,PA,Allentown,1,KABE,ABE,ABE,,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,,750,2022-03-04T10:29:37+00:00
3357,KABI,medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,1791,NA,United States,US,Texas,US-TX,TX,Abilene,1,KABI,ABI,ABI,,https://en.wikipedia.org/wiki/Abilene_Regional_Airport,,500,2011-09-03T02:33:57+00:00
16091,KABQ,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,NA,United States,US,New Mexico,US-NM,NM,Albuquerque,1,KABQ,ABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,,500,2021-11-21T14:58:42+00:00
3358,KABR,medium_airport,Aberdeen Regional Airport,45.44910049,-98.42179871,1302,NA,United States,US,South Dakota,US-SD,SD,Aberdeen,1,KABR,ABR,ABR,,https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,,750,2008-06-13T14:30:04+00:00
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197,NA,United States,US,Georgia,US-GA,GA,Albany,1,KABY,ABY,ABY,,https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,,750,2021-10-06T17:37:28+00:00
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,NA,United States,US,Massachusetts,US-MA,MA,Nantucket,1,KACK,ACK,ACK,,https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport,,750,2010-01-23T11:27:45+00:00
3361,KACT,medium_airport,Waco Regional Airport,31.61129951,-97.23049927,516,NA,United States,US,Texas,US-TX,TX,Waco,1,KACT,ACT,ACT,,https://en.wikipedia.org/wiki/Waco_Regional_Airport,,750,2008-06-13T14:30:04+00:00
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,NA,United States,US,California,US-CA,CA,Arcata/Eureka,1,KACV,ACV,ACV,,https://en.wikipedia.org/wiki/Arcata-Eureka_Airport,Arcata Airport,750,2021-11-21T11:19:58+00:00
3363,KACY,medium_airport,Atlantic City International Airport,39.45759964,-74.57720184,75,NA,United States,US,New Jersey,US-NJ,NJ,Atlantic City,1,KACY,ACY,ACY,,https://en.wikipedia.org/wiki/Atlantic_City_International_Airport,,750,2008-06-13T14:30:04+00:00
5353,PADQ,medium_airport,Kodiak Airport,57.75,-152.4940033,78,NA,United States,US,Alaska,US-AK,AK,Kodiak,1,PADQ,ADQ,ADQ,,https://en.wikipedia.org/wiki/Kodiak_Airport,,750,2010-01-23T11:28:10+00:00
3365,KAEX,medium_airport,Alexandria International Airport,31.3274,-92.549797,89,NA,United States,US,Louisiana,US-LA,LA,Alexandria,1,KAEX,AEX,AEX,,https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana),"England Air Park, England Air Force Base",750,2021-03-01T15:20:13+00:00
3368,KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144,NA,United States,US,Georgia,US-GA,GA,Augusta,1,KAGS,AGS,AGS,,https://en.wikipedia.org/wiki/Augusta_Regional_Airport,,750,2021-11-20T15:40:33+00:00
5380,PAKN,medium_airport,King Salmon Airport,58.677845,-156.651965,73,NA,United States,US,Alaska,US-AK,AK,King Salmon,1,PAKN,AKN,AKN,,https://en.wikipedia.org/wiki/King_Salmon_Airport,Naknek Air Force Base,750,2021-03-25T11:32:59+00:00
5383,PAKW,medium_airport,Klawock Airport,55.579201,-133.076004,80,NA,United States,US,Alaska,US-AK,AK,Klawock,0,PAKW,KLW,AKW,,https://en.wikipedia.org/wiki/Klawock_Airport,9Z1,250,2022-08-08T20:52:39+00:00
3371,KALB,medium_airport,Albany International Airport,42.74829865,-73.80169678,285,NA,United States,US,New York,US-NY,NY,Albany,1,KALB,ALB,ALB,http://www.albanyairport.com/,https://en.wikipedia.org/wiki/Albany_International_Airport,,750,2008-06-13T14:30:04+00:00
19275,KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539,NA,United States,US,Colorado,US-CO,CO,Alamosa,1,KALS,ALS,ALS,https://www.sanluisvalleyairport.org/,https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport,,500,2021-01-02T00:25:16+00:00
3376,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,NA,United States,US,Washington,US-WA,WA,Walla Walla,1,KALW,ALW,ALW,,https://en.wikipedia.org/wiki/Walla_Walla_Regional_Airport,,750,2010-01-23T11:27:46+00:00
3377,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,NA,United States,US,Texas,US-TX,TX,Amarillo,1,KAMA,AMA,AMA,http://airport.amarillo.gov/,https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,,750,2021-11-20T15:28:26+00:00
5388,PANC,large_airport,Ted Stevens Anchorage International Airport,61.1744,-149.996002,152,NA,United States,US,Alaska,US-AK,AK,Anchorage,1,PANC,ANC,ANC,,https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport,,1475,2021-07-22T18:16:22+00:00
3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,United States,US,Michigan,US-MI,MI,Alpena,1,KAPN,APN,APN,,https://en.wikipedia.org/wiki/Alpena_County_Regional_Airport,,750,2010-01-23T11:27:46+00:00
3383,KART,medium_airport,Watertown International Airport,43.991901,-76.021698,325,NA,United States,US,New York,US-NY,NY,Watertown,1,KART,ART,ART,,https://en.wikipedia.org/wiki/Watertown_International_Airport,,750,2022-11-08T16:46:24+00:00
19308,KASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820,NA,United States,US,Colorado,US-CO,CO,Aspen,1,KASE,ASE,ASE,http://aspenairport.com/,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport,,500,2022-12-15T16:06:02+00:00
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,NA,United States,US,Georgia,US-GA,GA,Atlanta,1,KATL,ATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport,,2002475,2018-09-19T14:50:01+00:00
3385,KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749,NA,United States,US,South Dakota,US-SD,SD,Watertown,1,KATY,ATY,ATY,,https://en.wikipedia.org/wiki/Watertown_Regional_Airport,,750,2010-01-23T11:27:46+00:00
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,NA,United States,US,Texas,US-TX,TX,Austin,1,KAUS,AUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,,51675,2021-05-13T19:39:21+00:00
3387,KAVL,medium_airport,Asheville Regional Airport,35.436199,-82.541801,2165,NA,United States,US,North Carolina,US-NC,NC,Asheville,1,KAVL,AVL,AVL,,https://en.wikipedia.org/wiki/Asheville_Regional_Airport,,750,2021-08-01T09:49:00+00:00
3388,KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.33850098,-75.7233963,962,NA,United States,US,Pennsylvania,US-PA,PA,Wilkes-Barre/Scranton,1,KAVP,AVP,AVP,http://www.flyavp.com/,https://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport,,750,2012-06-17T10:28:37+00:00
3390,KAZO,medium_airport,Kalamazoo Battle Creek International Airport,42.23490143,-85.55210114,874,NA,United States,US,Michigan,US-MI,MI,Kalamazoo,1,KAZO,AZO,AZO,,https://en.wikipedia.org/wiki/Kalamazoo-Battle_Creek_International_Airport,,750,2008-06-13T14:30:04+00:00
3396,KBDL,medium_airport,Bradley International Airport,41.93851,-72.688066,173,NA,United States,US,Connecticut,US-CT,CT,Hartford,1,KBDL,BDL,BDL,http://www.bradleyairport.com/,https://en.wikipedia.org/wiki/Bradley_International_Airport,"HFD, Hartford",750,2021-11-22T14:10:49+00:00
5338,PABE,medium_airport,Bethel Airport,60.77980042,-161.8379974,126,NA,United States,US,Alaska,US-AK,AK,Bethel,1,PABE,BET,BET,,https://en.wikipedia.org/wiki/Bethel_Airport,,750,2010-01-23T11:28:09+00:00
3400,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,NA,United States,US,Nebraska,US-NE,NE,Scottsbluff,1,KBFF,BFF,BFF,,https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport,William B. Heilig Field,750,2010-01-26T11:00:03+00:00
3401,KBFI,medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,21,NA,United States,US,Washington,US-WA,WA,Seattle,1,KBFI,BFI,BFI,,https://en.wikipedia.org/wiki/Boeing_Field,,750,2021-08-01T10:13:21+00:00
3402,KBFL,medium_airport,Meadows Field,35.433601,-119.056999,510,NA,United States,US,California,US-CA,CA,Bakersfield,1,KBFL,BFL,BFL,,https://en.wikipedia.org/wiki/Meadows_Field_Airport,,500,2021-04-14T15:21:17+00:00
3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,NA,United States,US,New York,US-NY,NY,Binghamton,1,KBGM,BGM,BGM,http://binghamtonairport.com/,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport,"Broome County Airport, Edwin A Link Field",750,2010-01-23T11:27:46+00:00
3405,KBGR,medium_airport,Bangor International Airport,44.8074,-68.828102,192,NA,United States,US,Maine,US-ME,ME,Bangor,1,KBGR,BGR,BGR,,https://en.wikipedia.org/wiki/Bangor_International_Airport,,750,2021-11-21T15:05:48+00:00
3406,KBHM,medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,650,NA,United States,US,Alabama,US-AL,AL,Birmingham,1,KBHM,BHM,BHM,http://www.flybirmingham.com/,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),,750,2021-11-21T15:02:17+00:00
3408,KBIL,medium_airport,Billings Logan International Airport,45.807701,-108.542999,3652,NA,United States,US,Montana,US-MT,MT,Billings,1,KBIL,BIL,BIL,,https://en.wikipedia.org/wiki/Billings_Logan_International_Airport,,750,2021-11-20T15:29:45+00:00
3409,KBIS,medium_airport,Bismarck Municipal Airport,46.77270126,-100.7460022,1661,NA,United States,US,North Dakota,US-ND,ND,Bismarck,1,KBIS,BIS,BIS,http://bismarckairport.com/,https://en.wikipedia.org/wiki/Bismarck_Municipal_Airport,,750,2008-06-13T14:30:04+00:00
19380,KBJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,1391,NA,United States,US,Minnesota,US-MN,MN,Bemidji,0,KBJI,BJI,BJI,http://www.bemidjiairport.org/,https://en.wikipedia.org/wiki/Bemidji_Regional_Airport,,250,2014-02-18T22:29:14+00:00
3416,KBLI,medium_airport,Bellingham International Airport,48.7928009,-122.538002,170,NA,United States,US,Washington,US-WA,WA,Bellingham,1,KBLI,BLI,BLI,,https://en.wikipedia.org/wiki/Bellingham_International_Airport,,750,2008-06-13T14:30:04+00:00
3417,KBLV,medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,NA,United States,US,Illinois,US-IL,IL,Belleville,1,KBLV,BLV,BLV,,https://en.wikipedia.org/wiki/Scott_Air_Force_Base,Scott Air Force Base,750,2021-11-21T15:32:20+00:00
3419,KBMI,medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,871,NA,United States,US,Illinois,US-IL,IL,Bloomington/Normal,1,KBMI,BMI,BMI,,https://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport,,750,2021-11-20T15:38:55+00:00
3420,KBNA,large_airport,Nashville International Airport,36.12450027,-86.67819977,599,NA,United States,US,Tennessee,US-TN,TN,Nashville,1,KBNA,BNA,BNA,,https://en.wikipedia.org/wiki/Nashville_International_Airport,,52075,2008-06-13T14:30:04+00:00
